scenario,cases_per_period,audit_share,replications,override_predictive_rejection_rate_05,median_predictive_p_value,audit_override_nonconvergence_rate,audit_proxy_nonconvergence_rate,audit_override_boundary_rate,audit_proxy_boundary_rate
improvement_only,250,0.1,1000,0.049,0.5196497697042518,0.0,0.0,0.402,0.0
improvement_only,250,0.25,1000,0.048,0.509101056748903,0.0,0.0,0.278,0.0
improvement_only,1000,0.1,1000,0.053,0.5025940959855603,0.0,0.0,0.095,0.0
improvement_only,1000,0.25,1000,0.057,0.49473196025804167,0.0,0.0,0.038,0.0
improvement_only,4000,0.1,1000,0.057,0.4993687473290989,0.0,0.0,0.0,0.0
improvement_only,4000,0.25,1000,0.048,0.5050448650178488,0.0,0.0,0.0,0.0
exact_equivalent_disengagement,250,0.1,1000,0.062,0.48352228448631035,0.0,0.0,0.101,0.0
exact_equivalent_disengagement,250,0.25,1000,0.063,0.49300875658444404,0.0,0.0,0.051,0.001
exact_equivalent_disengagement,1000,0.1,1000,0.043,0.5065244109748063,0.0,0.0,0.009,0.0
exact_equivalent_disengagement,1000,0.25,1000,0.063,0.4973694421310184,0.0,0.0,0.0,0.0
exact_equivalent_disengagement,4000,0.1,1000,0.05,0.48379547081802665,0.0,0.0,0.0,0.0
exact_equivalent_disengagement,4000,0.25,1000,0.054,0.5078895647415792,0.0,0.0,0.0,0.0
mixed,250,0.1,1000,0.064,0.4643768280305471,0.0,0.0,0.161,0.0
mixed,250,0.25,1000,0.057,0.47648919295629155,0.0,0.0,0.068,0.0
mixed,1000,0.1,1000,0.05,0.49594156793375405,0.0,0.0,0.025,0.0
mixed,1000,0.25,1000,0.05,0.4963326340327727,0.0,0.0,0.003,0.0
mixed,4000,0.1,1000,0.051,0.5299458446950431,0.0,0.0,0.0,0.0
mixed,4000,0.25,1000,0.058,0.48793156194550724,0.0,0.0,0.0,0.0
stable_negative_control,250,0.1,1000,0.053,0.4945993276954655,0.0,0.0,0.046,0.0
stable_negative_control,250,0.25,1000,0.06,0.5374832800390471,0.0,0.0,0.004,0.0
stable_negative_control,1000,0.1,1000,0.073,0.4874816662129813,0.0,0.0,0.0,0.0
stable_negative_control,1000,0.25,1000,0.048,0.49621867276126497,0.0,0.0,0.0,0.0
stable_negative_control,4000,0.1,1000,0.047,0.501648597288976,0.0,0.0,0.0,0.0
stable_negative_control,4000,0.25,1000,0.046,0.5071114343246285,0.0,0.0,0.0,0.0
detection_drift_misspecification,250,0.1,1000,0.991,3.615077837596111e-05,0.0,0.0,0.114,0.0
detection_drift_misspecification,250,0.25,1000,1.0,3.755065678717952e-11,0.0,0.0,0.048,0.0
detection_drift_misspecification,1000,0.1,1000,1.0,2.5352233303844505e-28,0.0,0.0,0.008,0.0
detection_drift_misspecification,1000,0.25,1000,1.0,2.8300524362407246e-57,0.0,0.0,0.0,0.0
detection_drift_misspecification,4000,0.1,1000,1.0,5.177844690494187e-135,0.0,0.0,0.0,0.0
detection_drift_misspecification,4000,0.25,1000,1.0,3.074165492272803e-260,0.0,0.0,0.0,0.0
proxy_drift_misspecification,250,0.1,1000,0.671,0.01446726431085975,0.0,0.0,0.322,0.0
proxy_drift_misspecification,250,0.25,1000,0.865,0.00090239205704485,0.0,0.0,0.137,0.0
proxy_drift_misspecification,1000,0.1,1000,1.0,1.4253487954844333e-09,0.0,0.0,0.041,0.0
proxy_drift_misspecification,1000,0.25,1000,1.0,3.6282194129755835e-16,0.0,0.0,0.001,0.0
proxy_drift_misspecification,4000,0.1,1000,1.0,1.9774511996616587e-46,0.0,0.0,0.0,0.0
proxy_drift_misspecification,4000,0.25,1000,1.0,1.8032728049218438e-79,0.0,0.0,0.0,0.0
