p_end,e_end,log_likelihood,delta_log_likelihood
0.55,0.2,-48903.46342144868,30.374052046034194
0.55,0.20625000000000002,-48896.21856331675,23.12919391410105
0.55,0.21250000000000002,-48890.08695021253,16.997580809882493
0.55,0.21875,-48885.045286117194,11.955916714548948
0.55,0.225,-48881.07127297908,7.981903576437617
0.55,0.23125,-48878.14355201747,5.0541826148255495
0.55,0.23750000000000002,-48876.24164949046,3.1522800878155977
0.55,0.24375000000000002,-48875.34592651384,2.256557111191796
0.55,0.25,-48875.437532562675,2.3481631600297987
0.55,0.25625000000000003,-48876.49836232661,3.408992923963524
0.55,0.2625,-48878.51101562425,5.421646221606352
0.55,0.26875000000000004,-48881.45876011274,8.369390710096923
0.55,0.275,-48885.32549655496,12.236127152311383
0.55,0.28125,-48890.095726430765,17.006357028119965
0.55,0.28750000000000003,-48895.75452169952,22.66515229687502
0.55,0.29375,-48902.287496539844,29.198127137198753
0.55,0.30000000000000004,-48909.68078090909,36.591411506444274
0.55,0.30625,-48917.92099577971,44.831626377061184
0.55,0.3125,-48926.99522992295,53.90586052030267
0.55,0.31875000000000003,-48936.891018122056,63.80164871941088
0.55,0.325,-48947.59632070775,74.50695130510576
0.55,0.33125000000000004,-48959.09950431809,86.0101349154429
0.55,0.3375,-48971.38932379358,98.29995439093182
0.55,0.34375,-48984.45490512579,111.36553572314733
0.55,0.35000000000000003,-48998.28572938485,125.19635998220474
0.55,0.35625,-49012.871617557335,139.78224815469002
0.55,0.36250000000000004,-49028.202716231666,155.11334682902088
0.55,0.36875,-49044.269484073375,171.18011467072938
0.55,0.375,-49061.0626790372,187.9733096345517
0.55,0.38125000000000003,-49078.57334626687,205.48397686422686
0.55,0.3875,-49096.79280663786,223.70343723521364
0.55,0.39375000000000004,-49115.71264590134,242.62327649869258
0.55,0.4,-49135.32470439087,262.2353349882251
0.55,0.40625,-49155.62106725652,282.5316978538758
0.55,0.41250000000000003,-49176.59405519333,303.50468579068547
0.55,0.41875,-49198.236215633835,325.14684623118956
0.55,0.42500000000000004,-49220.54031437624,347.4509449735924
0.55,0.43125,-49243.49932762223,370.40995821958495
0.55,0.4375,-49267.10643439992,394.0170649972715
0.55,0.44375000000000003,-49291.355009349296,418.2656399466505
0.55,0.45,-49316.238615849215,443.14924644657003
0.55,0.45625000000000004,-49341.75099946624,468.6616300635942
0.55,0.4625,-49367.886081706936,494.79671230429085
0.55,0.46875,-49394.63795405683,521.5485846541851
0.55,0.47500000000000003,-49422.00087228979,548.9115028871456
0.55,0.48125,-49449.969251033166,576.8798816305207
0.55,0.48750000000000004,-49478.537658574714,605.448289172069
0.55,0.49375,-49507.70081189823,634.6114424955813
0.55,0.5,-49537.45357193574,664.3642025330919
0.55,0.5062500000000001,-49567.790939024926,694.7015696222807
0.55,0.5125,-49598.708048560904,725.6186791582586
0.55,0.51875,-49630.200166832394,757.1107974297483
0.55,0.525,-49662.26268703289,789.1733176302441
0.55,0.53125,-49694.89112543795,821.8017560353037
0.55,0.5375000000000001,-49728.08111774016,854.9917483375175
0.55,0.54375,-49761.8284155342,888.7390461315517
0.55,0.55,-49796.128882944264,923.0395135416184
0.55,0.55625,-49830.978493387316,957.8891239846707
0.55,0.5625,-49866.37332646534,993.2839570626966
0.55,0.5687500000000001,-49902.30956498049,1029.2201955778437
0.55,0.575,-49938.78349206738,1065.6941226647323
0.55,0.58125,-49975.79148843697,1102.702119034322
0.55,0.5875,-50013.33002972696,1140.2406603243144
0.55,0.59375,-50051.3956839536,1178.3063145509514
0.55,0.6000000000000001,-50089.98510906049,1216.895739657848
0.55,0.60625,-50129.095050559925,1256.0056811572795
0.55,0.6125,-50168.722339262575,1295.6329698599293
0.55,0.61875,-50208.86388909164,1335.7745196889955
0.55,0.625,-50249.51669497786,1376.4273255752123
0.55,0.6312500000000001,-50290.67783083161,1417.588461428968
0.55,0.6375,-50332.34444758906,1459.255078186412
0.55,0.64375,-50374.51377132896,1501.4244019263133
0.55,0.65,-50417.183101457194,1544.093732054549
0.55,0.65625,-50460.34980895632,1587.2604395536764
0.55,0.6625000000000001,-50504.01133469719,1630.9219652945467
0.55,0.66875,-50548.16518781021,1675.0758184075676
0.55,0.675,-50592.80894411389,1719.7195747112419
0.55,0.68125,-50637.94024459805,1764.8508751954068
0.55,0.6875,-50683.55679395996,1810.4674245573115
0.55,0.6937500000000001,-50729.65635919075,1856.5669897881016
0.55,0.7,-50776.23676821058,1903.1473988079379
0.55,0.70625,-50823.29590855038,1950.2065391477372
0.55,0.7125000000000001,-50870.8317260784,1997.742356675757
0.55,0.71875,-50918.84222376997,2045.7528543673252
0.55,0.7250000000000001,-50967.32546051862,2094.2360911159776
0.55,0.73125,-51016.27954998719,2143.190180584548
0.55,0.7375,-51065.70265949727,2192.613290094625
0.55,0.7437500000000001,-51115.593008955635,2242.5036395529896
0.55,0.75,-51165.948869816304,2292.8595004136587
0.55,0.7562500000000001,-51216.76856407694,2343.679194674296
0.55,0.7625,-51268.05046330817,2394.9610939055274
