scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
improvement_only,250,0.1,delta_p_audit_override,1000,0.28,0.27656067512454185,-0.0034393248754581982,0.04229205604776812,0.04217306743367596,0.04935888588328393,0.982,0.001333629490062881,0.004204283529925166
improvement_only,250,0.1,delta_e_audit_override,1000,0.0,-0.020322458324042458,-0.020322458324042458,0.14902224706701397,0.14770390737154698,0.18879123463206132,0.987,0.004670807666006227,0.0035820385257559714
improvement_only,250,0.1,delta_p_audit_proxy,1000,0.28,0.27689784208980417,-0.0031021579101958197,0.05508204649077508,0.05502214006933869,0.05594741003634249,0.957,0.001739952843559252,0.006414904519944161
improvement_only,250,0.1,delta_e_audit_proxy,1000,0.0,0.0008532698557548994,0.0008532698557548994,0.041809428831508226,0.04182163697285533,0.04129346140774479,0.95,0.0013225162831093235,0.006892024376045114
improvement_only,250,0.1,delta_override,1000,-0.1764,-0.17674348,-0.0003434799999999986,0.01753018247480613,0.017535587127481805,0.017255160462283467,0.953,0.0005545239543117192,0.00669260786241059
improvement_only,250,0.25,delta_p_audit_override,1000,0.28,0.27798652561893006,-0.0020134743810699836,0.0302149643217537,0.030162887621567255,0.03354125945046881,0.972,0.0009538342569185148,0.005216895628628201
improvement_only,250,0.25,delta_e_audit_override,1000,0.0,-0.0074261637415950635,-0.0074261637415950635,0.12256266717653601,0.12239869655526477,0.14890851065201727,0.988,0.0038705866375044213,0.003443254274665176
improvement_only,250,0.25,delta_p_audit_proxy,1000,0.28,0.27829880142628527,-0.001701198573714786,0.03476401560686638,0.03473974027078097,0.0356372383516168,0.95,0.0010985670457834247,0.006892024376045114
improvement_only,250,0.25,delta_e_audit_proxy,1000,0.0,0.0011434704262663028,0.0011434704262663028,0.0416708238525184,0.04167597536776704,0.041252656164668354,0.949,0.0013179100587121738,0.006956938982052382
improvement_only,250,0.25,delta_override,1000,-0.1764,-0.17613427999999998,0.0002657200000000018,0.017551623742548723,0.017558393607265663,0.017265779682689882,0.949,0.0005552451585269949,0.006956938982052382
improvement_only,1000,0.1,delta_p_audit_override,1000,0.28,0.2786194343828372,-0.0013805656171628057,0.023120540581914702,0.0230908341555404,0.02442973307155375,0.97,0.000730196290047184,0.0053944415837044735
improvement_only,1000,0.1,delta_e_audit_override,1000,0.0,-0.004319307752444783,-0.004319307752444783,0.08863914311506751,0.08857814267680918,0.09491442640922779,0.965,0.00280108681766081,0.005811626278418119
improvement_only,1000,0.1,delta_p_audit_proxy,1000,0.28,0.27898742230137635,-0.0010125776986237226,0.02741711594675066,0.027412120633023243,0.028063548429800255,0.955,0.000866847366956501,0.00655553201502365
improvement_only,1000,0.1,delta_e_audit_proxy,1000,0.0,-0.0008866416399359683,-0.0008866416399359683,0.020299895678286863,0.020290671316990857,0.020582694909568655,0.947,0.0006416473661553949,0.007084560677981384
improvement_only,1000,0.1,delta_override,1000,-0.1764,-0.17636235,3.765000000000221e-05,0.0084221329424321,0.008426262972705347,0.008639671584416132,0.955,0.00026646183157290126,0.00655553201502365
improvement_only,1000,0.25,delta_p_audit_override,1000,0.28,0.2799879838201149,-1.2016179885169787e-05,0.016868285253934256,0.016876721445418928,0.016667446362951355,0.951,0.0005336887920373288,0.006826346021115546
improvement_only,1000,0.25,delta_e_audit_override,1000,0.0,0.001269921474317088,0.001269921474317088,0.07489858165343734,0.07492528699829895,0.07440280469905713,0.949,0.002369345612564251,0.006956938982052382
improvement_only,1000,0.25,delta_p_audit_proxy,1000,0.28,0.2800010053020658,1.00530206571392e-06,0.01810484049617137,0.01811389968347284,0.01775895198681467,0.944,0.0005728118030757724,0.007270763371201131
