scenario,cases_per_period,audit_share,bundle,exact_trend_regime_match_rate,false_any_disengagement_rate
improvement_only,250,0.1,audit_override,0.987,
improvement_only,250,0.1,audit_proxy,0.948,
improvement_only,250,0.25,audit_override,0.988,
improvement_only,250,0.25,audit_proxy,0.949,
improvement_only,1000,0.1,audit_override,0.965,
improvement_only,1000,0.1,audit_proxy,0.947,
improvement_only,1000,0.25,audit_override,0.949,
improvement_only,1000,0.25,audit_proxy,0.939,
improvement_only,4000,0.1,audit_override,0.943,
improvement_only,4000,0.1,audit_proxy,0.941,
improvement_only,4000,0.25,audit_override,0.943,
improvement_only,4000,0.25,audit_proxy,0.963,
exact_equivalent_disengagement,250,0.1,audit_override,0.942,
exact_equivalent_disengagement,250,0.1,audit_proxy,0.931,
exact_equivalent_disengagement,250,0.25,audit_override,0.96,
exact_equivalent_disengagement,250,0.25,audit_proxy,0.951,
exact_equivalent_disengagement,1000,0.1,audit_override,0.948,
exact_equivalent_disengagement,1000,0.1,audit_proxy,0.936,
exact_equivalent_disengagement,1000,0.25,audit_override,0.954,
exact_equivalent_disengagement,1000,0.25,audit_proxy,0.959,
exact_equivalent_disengagement,4000,0.1,audit_override,0.955,
exact_equivalent_disengagement,4000,0.1,audit_proxy,0.958,
exact_equivalent_disengagement,4000,0.25,audit_override,0.954,
exact_equivalent_disengagement,4000,0.25,audit_proxy,0.956,
mixed,250,0.1,audit_override,0.324,
mixed,250,0.1,audit_proxy,0.669,
mixed,250,0.25,audit_override,0.85,
mixed,250,0.25,audit_proxy,0.963,
mixed,1000,0.1,audit_override,0.991,
mixed,1000,0.1,audit_proxy,0.998,
mixed,1000,0.25,audit_override,1.0,
mixed,1000,0.25,audit_proxy,1.0,
mixed,4000,0.1,audit_override,1.0,
mixed,4000,0.1,audit_proxy,1.0,
mixed,4000,0.25,audit_override,1.0,
mixed,4000,0.25,audit_proxy,1.0,
stable_negative_control,250,0.1,audit_override,0.92,0.007
stable_negative_control,250,0.1,audit_proxy,0.916,0.015
stable_negative_control,250,0.25,audit_override,0.92,0.016
stable_negative_control,250,0.25,audit_proxy,0.901,0.029
stable_negative_control,1000,0.1,audit_override,0.909,0.009
stable_negative_control,1000,0.1,audit_proxy,0.887,0.029
stable_negative_control,1000,0.25,audit_override,0.929,0.013
stable_negative_control,1000,0.25,audit_proxy,0.904,0.032
stable_negative_control,4000,0.1,audit_override,0.92,0.007
stable_negative_control,4000,0.1,audit_proxy,0.884,0.027
stable_negative_control,4000,0.25,audit_override,0.917,0.012
stable_negative_control,4000,0.25,audit_proxy,0.898,0.021
detection_drift_misspecification,250,0.1,audit_override,0.0,0.975
detection_drift_misspecification,250,0.1,audit_proxy,0.902,0.024
detection_drift_misspecification,250,0.25,audit_override,0.0,0.972
detection_drift_misspecification,250,0.25,audit_proxy,0.901,0.026
detection_drift_misspecification,1000,0.1,audit_override,0.0,0.972
detection_drift_misspecification,1000,0.1,audit_proxy,0.919,0.021
detection_drift_misspecification,1000,0.25,audit_override,0.0,0.982
detection_drift_misspecification,1000,0.25,audit_proxy,0.899,0.025
detection_drift_misspecification,4000,0.1,audit_override,0.0,0.974
detection_drift_misspecification,4000,0.1,audit_proxy,0.893,0.032
detection_drift_misspecification,4000,0.25,audit_override,0.0,0.978
detection_drift_misspecification,4000,0.25,audit_proxy,0.899,0.022
proxy_drift_misspecification,250,0.1,audit_override,0.962,0.003
proxy_drift_misspecification,250,0.1,audit_proxy,0.0,0.971
proxy_drift_misspecification,250,0.25,audit_override,0.96,0.005
proxy_drift_misspecification,250,0.25,audit_proxy,0.0,0.974
proxy_drift_misspecification,1000,0.1,audit_override,0.953,0.01
proxy_drift_misspecification,1000,0.1,audit_proxy,0.0,0.982
proxy_drift_misspecification,1000,0.25,audit_override,0.926,0.008
proxy_drift_misspecification,1000,0.25,audit_proxy,0.0,0.963
proxy_drift_misspecification,4000,0.1,audit_override,0.924,0.008
proxy_drift_misspecification,4000,0.1,audit_proxy,0.0,0.972
proxy_drift_misspecification,4000,0.25,audit_override,0.932,0.018
proxy_drift_misspecification,4000,0.25,audit_proxy,0.0,0.98
